,club,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments
171,San Diego 1904 FC,,,,,,,,,,,683.0,655.0,,,,,,,,,,,,,,,
172,AEK Athens,,,,,,,,,,,649.0,,,,,,,,,,,,,,,,
173,Mansfield Town,,,,,,,,,,,588.0,,,,,,,,,,,,,,,,
174,Rosenborg,,,,,,,,,,,585.0,,,,,,,,,,,,,,,,
175,Portland Timbers,,,,,,,,,,,574.0,,,,,,,,,,,,,,,,
176,:Arsenal:,,,,,,,,,,,,1280.0,22458.0,33692.0,31332.0,29498.0,40475.0,34115.0,39615.0,30280.0,33428.0,49419.0,32701.0,35213.0,35905.0,30468.0,32179.0
177,:Liverpool:,,,,,,,,,,,,1166.0,33070.0,55458.0,63002.0,44863.0,54889.0,58704.0,93825.0,66619.0,53274.0,56138.0,51364.0,55154.0,66613.0,65289.0,73941.0
178,:Manchester_United:,,,,,,,,,,,,1041.0,27706.0,34194.0,41663.0,46504.0,60463.0,43850.0,52017.0,44519.0,42470.0,59481.0,37366.0,33506.0,35993.0,43369.0,40076.0
179,:FC_Barcelona:,,,,,,,,,,,,798.0,17959.0,20533.0,19808.0,25564.0,38000.0,30978.0,37575.0,26101.0,31470.0,28589.0,23554.0,21386.0,19021.0,20523.0,17807.0
180,:Juventus:,,,,,,,,,,,,595.0,8324.0,8067.0,7408.0,10200.0,11452.0,10045.0,9453.0,12082.0,14240.0,13954.0,10768.0,8201.0,8707.0,8869.0,7709.0
181,:Chelsea:,,,,,,,,,,,,571.0,17317.0,21292.0,28183.0,25837.0,28609.0,25402.0,36175.0,29463.0,22448.0,27233.0,22589.0,21672.0,29487.0,24601.0,22490.0
182,:Real_Madrid:,,,,,,,,,,,,551.0,12552.0,16097.0,14394.0,22426.0,26213.0,17873.0,24584.0,30445.0,24015.0,31038.0,21784.0,18699.0,14785.0,19848.0,20858.0
183,:Ajax:,,,,,,,,,,,,549.0,6958.0,9124.0,5561.0,8125.0,11069.0,14027.0,16352.0,11123.0,11708.0,12731.0,12826.0,10666.0,13595.0,11887.0,5932.0
184,FC Halifax Town,,,,,,,,,,,,523.0,,,,,,,,,,,,,,,
185,FC United,,,,,,,,,,,,507.0,,,,,,,,,,,,,,,
186,:Manchester_City:,,,,,,,,,,,,,11746.0,12467.0,11519.0,11681.0,15715.0,16098.0,28123.0,17931.0,11817.0,17754.0,14073.0,12670.0,14128.0,11731.0,13208.0
187,:Tottenham_Hotspur:,,,,,,,,,,,,,11597.0,19999.0,22340.0,19175.0,20330.0,22947.0,33117.0,23250.0,21776.0,29440.0,18936.0,16226.0,20683.0,26060.0,22687.0
188,:Borussia_Dortmund:,,,,,,,,,,,,,5802.0,7687.0,6611.0,7842.0,8824.0,7165.0,9547.0,8504.0,8452.0,9196.0,8190.0,7596.0,7047.0,8937.0,6229.0
